,City,Children_Needing_Care_DemandEstimated_InfantsToddlers,Available_Spaces_for_Children_Supply_InfantsToddlers,Percent_of_Need_Met_InfantsToddlers,Shortage_of_care_InfantsToddlers,Children_Needing_Care_DemandEstimated_Preschoolers,Available_Spaces_for_Children_Supply_Preschoolers,Percent_of_Need_Met_Preschoolers,Shortage_of_Care_Preschoolers,is_imputed_InfantsToddlers,is_imputed_Preschoolers,expected_slots_by_need_InfantsToddlers,delta_slots_InfantsToddlers,capacity_above_expectation_InfantsToddlers,expected_slots_by_need_Preschoolers,delta_slots_Preschoolers,capacity_above_expectation_Preschoolers
57,Greenwich,1473,305.0,21%,-1168,1926,1613.0,84%,-313,0,0,458.33645507697537,-153.33645507697537,-33.45499869767576,1882.5111072003897,-269.5111072003897,-14.316574609814548
58,Griswold,465,44.0,9%,-421,317,304.0,96%,-13,0,0,144.68869763122441,-100.68869763122441,-69.58988454499392,309.8421708112791,-5.842170811279118,-1.885531203187157
59,Groton,1392,262.0,19%,-1130,1006,660.0,66%,-346,0,0,433.1326174250847,-171.13261742508467,-39.51044334699269,983.2846177796429,-323.2846177796429,-32.8780306265395
60,Guilford,308,70.0,23%,-238,363,404.0,111%,41,0,0,95.83681477509057,-25.836814775090573,-26.95917517263517,354.8034952823165,49.196504717683524,13.865845565737159
61,Haddam,32,17.0,340%,12,5,62.0,1240%,57,1,1,9.957071664944475,7.0429283350555245,70.73292803396528,4.88710048598232,57.11289951401768,1168.6459011398417
62,Hamden,1465,515.0,35%,-950,1280,1046.0,82%,-234,0,0,455.8471871607393,59.15281283926072,12.976456695432553,1251.097724411474,-205.09772441147402,-16.393421585668182
63,Hampton,5,1.0,20%,-4,5,12.0,240%,7,1,1,1.5557924476475744,-0.5557924476475744,-35.724074151918956,4.88710048598232,7.11289951401768,145.54436796255004
64,Hartford,3845,1200.0,31%,-2645,3518,3922.0,111%,404,0,0,1196.4043922409846,3.5956077590153654,0.30053448335143884,3438.5639019371606,483.4360980628394,14.05924426155027
65,Hartland,5,2.0,40%,-3,104,19.0,380%,14,1,1,1.5557924476475744,0.4442075523524256,28.551851696162085,101.65169010843226,-82.65169010843226,-81.30872199003024
66,Harwinton,72,36.0,720%,31,109,45.0,900%,40,1,1,22.40341124612507,13.59658875387493,60.68981462020261,106.53879059441458,-61.53879059441458,-57.761863309194375
67,Hebron,36,87.0,1740%,82,29,183.0,3660%,178,1,1,11.201705623062535,75.79829437693746,676.6674373309793,28.345182818697456,154.65481718130255,545.6123467980842
68,Kent,5,0.0,0%,-5,64,41.0,820%,36,1,1,1.5557924476475744,-1.5557924476475744,-100.0,62.5548862205737,-21.5548862205737,-34.45755803082974
69,Killingly,385,57.0,15%,-328,369,330.0,89%,-39,0,0,119.79601846886322,-62.796018468863224,-52.419119826745195,360.66801586549525,-30.66801586549525,-8.503114919103984
70,Killingworth,42,33.0,660%,28,121,45.0,900%,40,1,1,13.068656560239624,19.931343439760376,152.51256583174697,118.26783176077215,-73.26783176077215,-61.950769427290794
71,Lebanon,26,7.0,140%,2,40,85.0,1700%,80,1,1,8.090120727767387,-1.0901207277673866,-13.474715204506285,39.09680388785856,45.90319611214144,117.40907580017452
72,Ledyard,316,99.0,31%,-217,292,240.0,82%,-52,0,0,98.32608269132669,0.6739173086733103,0.6853901734181019,285.4066683813675,-45.406668381367524,-15.909463026523962
73,Lisbon,5,3.0,60%,-2,49,37.0,740%,32,1,1,1.5557924476475744,1.4442075523524256,92.82777754424313,47.89358476262674,-10.893584762626737,-22.74539443355143
74,Litchfield,160,43.0,27%,-117,101,179.0,177%,78,0,0,49.78535832472238,-6.785358324722381,-13.6292246416411,98.71942981684288,80.28057018315712,81.32195488983686
75,Lyme,29,0.0,0%,-5,56,0.0,0%,-5,1,1,9.02359619635593,-9.02359619635593,-100.0,54.73552544300199,-54.73552544300199,-100.0
76,Madison,298,132.0,44%,-166,323,403.0,125%,80,0,0,92.72522987979542,39.27477012020458,42.35607738165602,315.7066913944579,87.29330860554211,27.650129371655918
77,Manchester,1965,386.0,20%,-1579,1259,1160.0,92%,-99,0,0,611.4264319254967,-225.42643192549667,-36.86893797109597,1230.5719023703482,-70.5719023703482,-5.7348865380731855
78,Mansfield,218,114.0,52%,-104,234,289.0,123%,55,0,0,67.83255071743424,46.167449282565755,68.06090703397336,228.7163027439726,60.28369725602741,26.357411576169802
79,Marlborough,56,45.0,900%,40,84,62.0,1240%,57,1,1,17.42487541365283,27.57512458634717,158.2514877824685,82.10328816450298,-20.103288164502985,-24.485363027390367
80,Meriden,1478,417.0,28%,-1061,1537,1171.0,76%,-366,0,0,459.892247524623,-42.892247524622974,-9.326586337449946,1502.2946893909652,-331.29468939096523,-22.052576750123045
81,Middlebury,69,60.0,87%,-9,169,118.0,70%,-51,0,0,21.469935777536524,38.53006422246348,179.4605471655698,165.1839964262024,-47.18399642620241,-28.5645083343666
82,Middlefield,24,13.0,260%,8,87,79.0,1580%,74,1,1,7.467803748708357,5.532196251291643,74.0806325052195,85.03554845609237,-6.035548456092371,-7.09767687240683
83,Middletown,1196,346.0,29%,-850,828,864.0,104%,36,0,0,372.14555347729976,-26.145553477299757,-7.025625654531592,809.3038404786722,54.696159521327786,6.758420853282631
84,Milford,1193,404.0,34%,-789,990,871.0,88%,-119,0,0,371.2120780087112,32.78792199128878,8.83266572768124,967.6458962244994,-96.64589622449944,-9.987733798240285
85,Monroe,269,122.0,45%,-147,401,296.0,74%,-105,0,0,83.7016336834395,38.298366316560504,45.75581697891985,391.94545897578206,-95.94545897578206,-24.47928832407022
86,Montville,230,152.0,66%,-78,365,193.0,53%,-172,0,0,71.56645259178842,80.43354740821158,112.39001584583302,356.75833547670936,-163.75833547670936,-45.901754547063746
87,Morris,6,3.0,60%,-2,43,6.0,120%,1,1,1,1.8669509371770892,1.1330490628229108,60.68981462020262,42.02906417944796,-36.02906417944796,-85.72416465334013
88,Naugatuck,1032,91.0,9%,-941,805,445.0,55%,-360,0,0,321.11556119445936,-230.11556119445936,-71.66129238287124,786.8231782431536,-341.8231782431536,-43.44345561939195
89,New Britain,1935,350.0,18%,-1585,1451,1517.0,105%,66,0,0,602.0916772396113,-252.09167723961127,-41.869317708453835,1418.2365610320694,98.7634389679306,6.963819836661039
90,New Canaan,333,30.0,9%,-303,391,686.0,175%,295,0,0,103.61577701332845,-73.61577701332845,-71.04688024861214,382.17125800381746,303.82874199618254,79.50067819939186
91,New Fairfield,212,28.0,13%,-184,292,200.0,69%,-92,0,0,65.96559978025715,-37.96559978025715,-57.55363387390874,285.4066683813675,-85.40666838136752,-29.924552522103305
92,New Hartford,23,3.0,60%,-2,121,103.0,2060%,98,1,1,7.156645259178842,-4.156645259178842,-58.080917925164535,118.26783176077215,-15.267831760772154,-12.909538911354499
