total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town,demand_estimate,ratio_poverty,demand_estimate_2,%housing_lowerHalf_income,demand_estimate_3,children_below_200%_poverty,%all_parents_working,demand_estimate_4
12671,5661,308,385,89700.0,98,66,892,485,6,229,27,353,2858,0,163,678,Windsor Locks,347.0,0.03772393654802304,27.0,0.22338410543761344,155.0,229,0.8071748878923767,185.0
25528,10975,488,605,128791.0,72,33,1228,572,28,102,312,346,5931,81,117,1017,Farmington,547.0,0.028596051394547163,32.0,0.21496004387339393,235.0,231,0.5716612377850163,133.0
26171,11481,904,451,110090.0,70,12,1519,1079,70,190,214,462,6153,0,130,1377,Wethersfield,678.0,0.02850483359443659,39.0,0.21934584081617056,298.0,142,0.8815009874917709,126.0
11361,4398,373,261,134500.0,12,15,708,548,20,62,48,97,3177,20,53,637,Granby,317.0,0.013819206055804946,9.0,0.19355690520200686,123.0,88,0.8898305084745762,79.0
57805,25182,2044,2086,85833.0,452,271,4820,1672,204,1148,506,1923,11841,353,975,3328,Manchester,2065.0,0.04983997924055013,206.0,0.21781852780901306,900.0,1599,0.6273858921161826,1004.0
15688,5601,289,308,134926.0,0,0,710,509,14,159,10,112,3854,0,0,710,Suffield,299.0,0.0077766445690973995,5.0,0.1785122386537481,107.0,0,0.9605633802816902,0.0
5069,2109,75,116,103125.0,8,0,206,186,8,0,15,77,1381,0,12,211,Canterbury,96.0,0.019727756954034326,4.0,0.20802919708029197,40.0,12,0.941747572815534,12.0
9512,3724,257,104,133422.0,15,0,403,234,0,0,34,71,2581,55,33,346,Hebron,181.0,0.012615643397813289,5.0,0.19575273338940286,71.0,88,0.5806451612903226,52.0
19546,7013,555,517,145497.0,84,71,1183,733,93,53,26,223,4806,0,24,1088,Monroe,536.0,0.017036733858589993,19.0,0.179397319144582,193.0,95,0.7430262045646661,71.0
52120,21735,1308,1226,94762.0,365,201,2923,1505,103,680,402,1287,11605,115,357,2258,Stratford,1267.0,0.039409056024558714,100.0,0.20850920951650037,529.0,673,0.7827574409852891,527.0
